테이블정의서,,,,,,,,,
테이블명,교수,,테이블ID,PROFESSOR,,,,,
작성일,2025-09-21 00:00:00,,작성자,송태호,,UNIQUE,USER_ID,,
테이블 설명,"대학 내 교수로 등록된 액터가 기록되는, 사용자 테이블의 자식 테이블입니다.",,,,,,,,
,,,,,,,,,
번호,컬럼ID,,컬럼명,도메인,데이터타입,NULL,기본값,KEY,설명
1.0,PROFESSOR_NO,,교번,교번,CHAR(8),NOT NULL,,PK,
2.0,USER_ID,,사용자ID,사용자ID,VARCHAR2(50),NOT NULL,,FK(사용자),
3.0,UNIV_DEPT_CD,,소속학과코드,학과코드,VARCHAR2(50),NOT NULL,,FK(학과),
4.0,ENG_LNAME,,영문성,,VARCHAR2(50),NOT NULL,,,
5.0,ENG_FNAME,,영문이름,,VARCHAR2(50),NOT NULL,,,
6.0,PRF_STATUS_CD,,재직상태코드,공통코드,VARCHAR2(50),NOT NULL,,FK(공통코드),재직상태코드 : 5. LMS 자료사전
7.0,PRF_APPNT_CD,,임용코드,공통코드,VARCHAR2(50),NOT NULL,,FK(공통코드),임용코드 : 5. LMS 자료사전
8.0,PRF_POSIT_CD,,직책코드,공통코드,VARCHAR2(50),,,FK(공통코드),직책코드 : 5. LMS 자료사전
9.0,OFFICE_NO,,학내전화번호,,VARCHAR2(15),,,,
,,,,,,,,,
,,,,,,,,,
테이블정의서,,,,,,,,,
테이블명,교수_학위,,테이블ID,PRF_DEGREE,,,,,
작성일,2025-09-21 00:00:00,,작성자,송태호,,UNIQUE,,,
테이블 설명,교수의 학위와 최종 학위를 기록하는 테이블입니다.,,,,,,,,
,,,,,,,,,
번호,컬럼ID,,컬럼명,도메인,데이터타입,NULL,기본값,KEY,설명
1.0,DEGREE_REGI_ID,,학위등록번호,,VARCHAR2(100),NOT NULL,,PK,실제 학위등록번호
2.0,PROFESSOR_NO,,교번,교번,CHAR(8),NOT NULL,,"PK, FK(교수)",
