테이블정의서,,,,,,,,,
테이블명,19 채용정보(학내),,테이블ID,PORTAL_RECRUIT,,,,,
작성일,2025-09-29 00:00:00,,작성자,송태호,,UNIQUE,,,
테이블 설명,직원이 작성하는 학내 채용정보 게시판 테이블입니다.,,,,,,,,
,,,,,,,,,
번호,컬럼ID,,컬럼명,도메인,데이터타입,NULL,기본값,KEY,설명
1.0,RECRUIT_ID,,채용정보ID,시퀀스,CHAR(15),NOT NULL,,PK,
2.0,STF_DEPT_NAME,,작성부서명,,VARCHAR2(50),NOT NULL,,,
3.0,TITLE,,제목,,VARCHAR2(200),NOT NULL,,,
4.0,CONTENT,,내용,,VARCHAR2(4000),NOT NULL,,,
5.0,ATTACH_FILE_ID,,첨부파일,파일ID,VARCHAR2(50),,,FK(파일),
6.0,VIEW_CNT,,조회수,,NUMBER,NOT NULL,,,
7.0,CREATE_AT,,작성일,,DATE,NOT NULL,,,
8.0,DELETE_AT,,삭제일,,DATE,,,,
9.0,REC_START_DAY,,모집시작일,,DATE,NOT NULL,,,
10.0,REC_END_DAY,,모집종료일,,DATE,NOT NULL,,,
11.0,AGENCY_NAME,,채용주체명,,VARCHAR2(200),NOT NULL,,,
12.0,REC_TARGET,,채용대상,,VARCHAR2(200),,,,
,,,,,,,,,
,,,,,,,,,
테이블정의서,,,,,,,,,
테이블명,19.1 채용정보_공공API,,테이블ID,PORTAL_RECRUIT_API,,,,,
작성일,2025-09-29 00:00:00,,작성자,송태호,,UNIQUE,,,
테이블 설명,공공API 정보를 학내 DB에 저장하는 테이블입니다.,,,,,,,,
,,,,,,,,,
번호,컬럼ID,,컬럼명,도메인,데이터타입,NULL,기본값,KEY,설명
,현재 api 직접 호출로 사용예정.,,,,,,,,
,api를 미리 호출해서 저장해두려면,,,,,,,,
,말씀해주세요 by 송태호,,,,,,,,
